,new_text,new_label
1183,اشوف منيو,show Menu
1184,قائمة الطعام,Menu Menu
1185,تفرجيني الكارت,show card
1186,العنوان,address
1187,,
1188,الطلبات,order
1189,اللغة,Language
1190,دلوقتي,late
1191,الاوردر,order
1192,اغير رقم موبايلي,change phone_number phone_number
1193,,
1194,قائمة تغيير البيانات,Menu change update_data
1195,اوردر بيتزا,order ItemName
1196,,
1197,,
1198,,
1199,العنوان,address
1200,,
1201,2 بيتزا,item_number ItemName
1202,,
1203,عايزة,show
1204,اعرف الاوردر فاضله ايه,show order late late
1205,تغيرلي اللغة,change Language
1206,سلطة كبير,ItemName itemSize
1207,,
1208,عايزة,show
1209,عنوان,address
1210,الاوردر,order
1211,,
1212,الاوردر رقم,order phone_number
1213,شوف المنيو,show Menu
1214,ايه قائمة الطعام,late Menu Menu
1215,الاوردر,order
1216,تفرجيني القائمة,show Menu
1217,اللغة,Language
1218,الفاتورة,invoice
1219,هاخد كبير,show itemSize
1220,ساندوتش,ItemName
1221,,
1222,عنوان البيت,address address
1223,ايه,late
1224,تضيفلي عنوان,add address
1225,مع,add
1226,,
1227,وريني قائمة الطعام,show Menu Menu
1228,,
1229,تشيكن مع,ItemName add
1230,الاوردرات السابقة,order previous
1231,عنواني,address
1232,,
1233,,
1234,,
1235,اوردر رقم,order phone_number
1236,كبير,itemSize
1237,,
1238,,
1239,الغي,cancel
1240,غير رقم الجوال,change phone_number phone_number
1241,عنوان,address
1242,منيو,Menu
1243,,
1244,منيو,Menu
1245,,
1246,السابقة,previous
1247,عنوان,address
1248,,
1249,,
1250,رقم,phone_number
1251,البيانات,update_data
1252,الاوردرات السابقة,order previous
1253,,
1254,,
1255,البيانات,update_data
1256,مع,add
1257,,
1258,عنواني,address
1259,شوف الكارت,show card
1260,اعرف الاوردر,show order
1261,,
1262,,
1263,,
1264,اعدل عنوان,edit address
1265,اعرضلي,show
1266,كام,invoice
1267,عايزة,show
1268,,
1269,,
1270,,
1271,مع,add
1272,الاوردرات السابقة,order previous
1273,3 بيتزا,item_number ItemName
1274,,
1275,عايزة اضيف عنوان البيت,show add address address
1276,اضيف رقم الجوال,add phone_number phone_number
1277,,
1278,,
1279,اوردر 3 بيتزا مع,order item_number ItemName add
1280,امسح,delete
1281,الاوردر,order
1282,,
1283,الفاتورة,invoice
1284,,
1285,ساندوتش 2,ItemName item_number
1286,اشوف المنيو,show Menu
1287,اشوف الكارت,show card
1288,,
1289,شوف,show
1290,اغير رقم للرقم,change phone_number phone_number
1291,,
1292,,
1293,تغيرلي للرقم,change phone_number
1294,الاوردر,order
1295,,
1296,,
1297,,
1298,شوف المنيو,show Menu
1299,,
1300,,
1301,,
1302,,
1303,اعرف وقت اد ايه الاوردر,show late late late order
1304,وريني الطلبات,show order
1305,,
1306,رقم,phone_number
1307,الاوردر,order
1308,2 تشيكن سوبريم بصل,item_number ItemName ItemName Exclude
1309,,
1310,,
1311,3 بيتزا,item_number ItemName
1312,عنوان البيت,address address
1313,منيو,Menu
1314,عايزة اعدل رقم موبايلي,show edit phone_number phone_number
1315,,
1316,عايزة عنواني,show address
1317,,
1318,2 مع,item_number add
1319,كبير,itemSize
1320,قديش وقت,show late
1321,,
1322,,
1323,القائمة,Menu
1324,الطلبات قبل,order previous
1325,رقم الموبايل,phone_number phone_number
1326,الاوردر,order
1327,العنوان,address
1328,اعدل العنوان,edit address
1329,,
1330,,
1331,اشوف,show
1332,الطلبات,order
1333,اغير بياناتي,change update_data
1334,قديش وقت,show late
1335,شوف الكارت,show card
1336,احط عنواني,add address
1337,,
1338,عايزة,show
1339,وقت,late
1340,غير رقم الموبايل,change phone_number phone_number
1341,الاوردر وقت ايه,order late late
1342,,
1343,,
1344,اشوف,show
1345,احدد عنوان البيت,add address address
1346,غير,change
1347,2,item_number
1348,,
1349,المنيو,Menu
1350,عايزة اغير ايه,show change late
1351,2,item_number
1352,,
1353,تشيكن سوبريم بيتزا,ItemName ItemName ItemName
1354,القائمة,Menu
1355,اغير,change
1356,رقم,phone_number
1357,الاوردر 3,order item_number
1358,,
1359,بدون,Exclude
1360,,
1361,عنوان البيت,address address
1362,اعرف,show
1363,عايزة اشوف الاوردرات,show show order
1364,,
1365,كبير,itemSize
1366,الاوردر,order
1367,قديش,show
1368,قائمة الطعام,Menu Menu
1369,,
1370,,
1371,طلبتها,order
1372,,
1373,,
1374,,
1375,عايزة اعدل العنوان,show edit address
1376,تفرجيني,show
1377,,
1378,مع,add
1379,تغيير رقم الموبايل,change phone_number phone_number
1380,بيتزا,ItemName
1381,رقم,phone_number
1382,الاوردر,order
1383,الاوردر,order
1384,غير عنوان,change address
1385,الاوردر,order
1386,الاوردر,order
1387,ايه,late
1388,رقم,phone_number
1389,الاوردر 2 بيتزا مع,order item_number ItemName add
1390,الغي,cancel
1391,اضيف,add
1392,تفرجيني الطعام,show Menu
1393,,
1394,,
1395,حسابى,invoice
1396,عطيني القائمة,show Menu
1397,بيتزا بصل,ItemName Exclude
1398,,
1399,رقم للرقم,phone_number phone_number
1400,احذف العنوان,delete address
1401,,
1402,تبعتلي قائمة تغيير البيانات,show Menu change update_data
1403,,
1404,احذف,delete
1405,,
1406,للرقم,phone_number
1407,مع,add
1408,,
1409,الاوردر,order
1410,عنوان البيت,address address
1411,الغي عنواني,cancel address
1412,قائمة الطعام,Menu Menu
1413,اللغة,Language
1414,,
1415,عنوان البيت,address address
1416,مع,add
1417,,
1418,احط العنوان,add address
1419,2 بيتزا,item_number ItemName
1420,اشوف الطلبات,show order
1421,,
1422,اعرف الاوردر فاضله اد ايه,show order late late late
1423,3 سلطة مع,item_number ItemName add
1424,,
1425,اشوف المنيو,show Menu
1426,اغير عنوان البيت,change address address
1427,تعرضلي,show
1428,شوف قائمة,show Menu
1429,,
1430,غير رقم الجوال,change phone_number phone_number
1431,قبل,previous
1432,,
1433,,
1434,,
1435,,
1436,,
1437,عايزة احط عنوان البيت,show add address address
1438,شوف الكارت,show card
1439,الاوردر ايه,order late
1440,اعرف العنوان,show address
1441,اشوف الاوردرات,show order
1442,,
1443,5 كبير,item_number itemSize
1444,,
1445,,
1446,اشوف الاوردرات قبل,show order previous
1447,البيانات,update_data
1448,,
1449,3 ميل تشيكن,item_number ItemName ItemName
1450,,
1451,تشيكن,ItemName
1452,عنوان,address
1453,العنوان,address
1454,,
1455,لغة,Language
1456,العنوان,address
1457,تطلعنى,show
1458,غير,change
1459,الاوردر ايه,order late
1460,وريني الطلبات القديمة,show order previous
1461,,
1462,,
1463,وقت الاوردر,late order
1464,تعرضلي الكارت,show card
1465,,
1466,المنيو,Menu
1467,اعرف,show
1468,عايزة احدد عنوان,show add address
1469,الغي,cancel
1470,,
1471,مع,add
1472,بيتزا,ItemName
1473,عنواني,address
1474,اوردر 5 تشيكن مع,order item_number ItemName add
1475,المنيو,Menu
1476,شوف,show
1477,عايزة,show
1478,,
1479,قائمة تغيير البيانات,Menu change update_data
1480,,
1481,,
1482,الاوردر,order
1483,اشوف قبل,show previous
1484,لحد,late
1485,سوبر سوبريم مع,ItemName ItemName add
1486,تغيرلي رقم,change phone_number
1487,سلطة,ItemName
1488,,
1489,تغيير البيانات,change update_data
1490,الطلبات,order
1491,احذف عنوان البيت,delete address address
1492,تغيرلي لغة,change Language
1493,اللغة,Language
1494,احدث عنواني,update_data address
1495,عايزة امسح عنواني,show delete address
1496,ايه,late
1497,عنوان البيت,address address
1498,اغير عنوان,change address
1499,سلطة,ItemName
1500,,
1501,,
1502,الطلبات,order
1503,احذف العنوان,delete address
1504,,
1505,القائمة,Menu
1506,,
1507,,
1508,الطلبات طلبتها قبل,order order previous
1509,عايزة اعرف وقت اد ايه,show show late late late
1510,,
1511,اعرف,show
1512,,
1513,غير رقم الموبايل,change phone_number phone_number
1514,منيو,Menu
1515,عنوان البيت,address address
1516,الاوردرات طلبتها,order order
1517,,
1518,,
1519,,
1520,,
1521,عنوان,address
1522,,
1523,,
1524,,
1525,كام,invoice
1526,احط عنوان البيت,add address address
1527,,
1528,عايزة اشوف الاوردرات القديمة,show show order previous
1529,الغي العنوان,cancel address
1530,الطلبات ايه,order late
1531,الاوردر,order
1532,عايزة,show
1533,الطلبات,order
1534,الاوردر ماوصل,order late
1535,اشوف السندوتشات,show ItemName
1536,الاوردر,order
1537,عايزة اغير بياناتي,show change update_data
1538,عنوان,address
1539,,
1540,,
1541,,
1542,,
1543,اللغة,Language
1544,بيتزا,ItemName
1545,عنوان,address
1546,,
1547,دلوقتي عايزة اغير رقم الموبايل ايه,late show change phone_number phone_number late
1548,,
1549,القائمة,Menu
1550,قائمة,Menu
1551,,
1552,اعرضلي الاوردرات,show order
1553,شوف الاوردر,show order
1554,,
1555,5,item_number
1556,3,item_number
1557,عنوان,address
1558,,
1559,2 كبير,item_number itemSize
1560,الطلبات,order
1561,عايزة,show
1562,الطلبات,order
1563,,
1564,تفرجيني قبل,show previous
1565,ايه الطلبات,late order
1566,3,item_number
1567,عنوان البيت,address address
1568,تفرجيني منيو,show Menu
1569,شوف المنيو,show Menu
1570,المنيو,Menu
1571,احذف الاوردر,delete order
1572,بيتزا كبيرة,ItemName itemSize
1573,,
1574,,
1575,الطلبات,order
1576,الحجم,itemSize
1577,عايزة اغير رقم موبايلي,show change phone_number phone_number
1578,عنوان البيت,address address
1579,اسجل عنوان البيت,update_data address address
1580,,
1581,اعرضلي,show
1582,تبعتلي قائمة,show Menu
1583,كبير مع,itemSize add
1584,عايزة اسجل عنوان,show update_data address
1585,,
1586,وريني منيو,show Menu
1587,عايزة اغير رقم,show change phone_number
1588,اتنين غير,item_number change
1589,عايزة اعدل رقم الموبايل,show edit phone_number phone_number
1590,اشوف الاوردر فاضله ايه,show order late late
1591,الطلبات السابقة,order previous
1592,الطعام,Menu
1593,رقم للرقم,phone_number phone_number
1594,ايه,late
1595,,
1596,,
1597,رقم,phone_number
1598,,
1599,الاوردر,order
1600,تعرضلي,show
1601,احدد عنوان,add address
1602,,
1603,الاوردر,order
1604,,
1605,عايزة اشوف الطلبات السابقة,show show order previous
1606,اعرضلي المنيو,show Menu
1607,عايزة الغي عنوان البيت,show cancel address address
1608,,
1609,شوف,show
1610,الطلبات,order
1611,,
1612,,
1613,,
1614,شوف قبل,show previous
1615,العنوان,address
1616,,
1617,,
1618,مع,add
1619,,
1620,العنوان,address
1621,اعرضلي طلباتي,show order
1622,الاوردر,order
1623,تبعتلي,show
1624,اشوف قائمة الطلبات,show Menu order
1625,اوردر,order
1626,,
1627,,
1628,,
1629,3 بيتزا مع بصل,item_number ItemName add Exclude
1630,,
1631,2 بيتزا كبير,item_number ItemName itemSize
1632,اشوف قبل,show previous
1633,شوف منيو,show Menu
1634,شوف المنيو,show Menu
1635,اعرضلي,show
1636,مع,add
1637,رقم,phone_number
1638,,
1639,مع,add
1640,رقم الجوال,phone_number phone_number
1641,حذف,delete
1642,3,item_number
1643,اشوف,show
1644,شوف,show
1645,اشوف طلباتي,show order
1646,الحجم كبير,itemSize itemSize
1647,,
1648,الفاتورة,invoice
1649,رقم الجوال للرقم,phone_number phone_number phone_number
1650,ايه,late
1651,3,item_number
1652,,
1653,اضيف عنوان,add address
1654,شوف الاشياء طلبتها,show order order
1655,الاوردر,order
1656,شوف,show
1657,الاوردر,order
1658,,
1659,2 بيتزا بصل مع,item_number ItemName Exclude add
1660,,
1661,,
1662,اشوف,show
1663,عنوان,address
1664,دلوقتي,late
1665,,
1666,اغير العنوان,change address
1667,رقم الجوال,phone_number phone_number
1668,رقم 2,phone_number item_number
1669,,
1670,ايه دلوقتي,late late
1671,,
1672,الله,Gbu
1673,,
1674,رقم الموبايل,phone_number phone_number
1675,عايزة رقم,show phone_number
1676,3,item_number
1677,,
1678,,
1679,,
1680,عايزة الاوردرات,show order
1681,,
1682,اغير رقم هاتفى,change phone_number phone_number
1683,اشوف البيتزا,show ItemName
1684,,
1685,قائمة تغيير البيانات,Menu change update_data
1686,,
1687,,
1688,اشوف قائمة الطعام,show Menu Menu
1689,اشوف,show
1690,عايزة اشوف منيو,show show Menu
1691,اشوف الاوردرات,show order
1692,رقم الجوال,phone_number phone_number
1693,,
1694,,
1695,هاخد 2 بيتزا,show item_number ItemName
1696,,
1697,اشوف الطلبات,show order
1698,,
1699,,
1700,,
1701,,
1702,عنواني,address
1703,,
1704,,
1705,الاوردرات السابقة,order previous
1706,تغير عنواني,change address
1707,,
1708,عايزة اعرف,show show
1709,,
1710,,
1711,عنوان,address
1712,,
1713,عايزة اضيف عنوان,show add address
1714,اشوف الاوردر,show order
1715,اغير رقم,change phone_number
1716,اشوف الاوردر,show order
1717,العنوان,address
1718,اروح قائمة تغيير البيانات,show Menu change update_data
1719,عايزة تشيكن ساندوتش مع,show ItemName ItemName add
1720,,
1721,ساندوتش,ItemName
1722,منيو,Menu
1723,اعرضلي القائمة,show Menu
1724,اوردر,order
1725,رقم,phone_number
1726,وقت ايه,late late
1727,الطلبات السابقة,order previous
1728,تغير رقم للرقم,change phone_number phone_number
1729,اغير رقم الموبايل,change phone_number phone_number
1730,,
1731,2 بيتزا,item_number ItemName
1732,,
1733,العنوان,address
1734,اشوف ايه,show late
1735,,
1736,غير العنوان,change address
1737,,
1738,عايزة اغير لغة,show change Language
1739,بيتزا,ItemName
1740,اضيف الهابي ميل,add ItemName ItemName
1741,اعرضلي منيو,show Menu
1742,الاوردر,order
1743,الاطباق,Menu
1744,,
1745,,
1746,اعرضلي الاوردر,show order
1747,اغير رقم الجوال,change phone_number phone_number
1748,تغير,change
1749,,
1750,,
1751,وريني المنيو,show Menu
1752,غير بياناتي,change update_data
1753,,
1754,غير اللغة,change Language
1755,,
1756,الاوردر,order
1757,شوف البيتزا,show ItemName
1758,اغير لغة,change Language
1759,اعدل عنوان,edit address
1760,منيو الاطباق,Menu Menu
1761,عنوان البيت,address address
1762,2 مع كبير,item_number add itemSize
1763,عايزة اشوف الاوردر,show show order
1764,اشوف,show
1765,تشيكن سوبريم بيتزا غير,ItemName ItemName ItemName change
1766,تشيكن,ItemName
1767,الاوردر 3,order item_number
1768,اعدل العنوان,edit address
1769,,
1770,ايه,late
1771,احذف,delete
1772,عايزة امسح عنواني,show delete address
1773,,
1774,اشوف حسابى,show invoice
1775,,
1776,,
1777,,
1778,,
1779,احدث رقم موبايلي,update_data phone_number phone_number
1780,اشوف اوردراتي السابقة,show order previous
1781,,
1782,عايزة اعرف كام الفاتورة,show show invoice invoice
1783,الغي,cancel
1784,اشوف,show
1785,قائمة المنيو,Menu Menu
1786,المنيو,Menu
1787,رقم فاضله ايه,phone_number late late
1788,,
1789,عنوان البيت,address address
1790,,
1791,,
1792,السندوتشات,ItemName
1793,عايزة العنوان,show address
1794,,
1795,,
1796,,
1797,,
1798,اشوف المنيو,show Menu
1799,رقم,phone_number
1800,الطعام,Menu
1801,تبعتلي القائمة,show Menu
1802,,
1803,الاوردر ايه,order late
1804,,
1805,بيتزا صغيرة,ItemName itemSize
1806,,
1807,,
1808,,
1809,الاوردرات السابقة,order previous
1810,كام,invoice
1811,العنوان,address
1812,مع واحد,add item_number
1813,,
1814,وريني الطعام,show Menu
1815,,
1816,رقم,phone_number
1817,,
1818,غير رقم الموبايل,change phone_number phone_number
1819,الاوردر 2 ساندوتش مع,order item_number ItemName add
1820,الاشياء طلبتها الاوردر,order order order
1821,رقم للرقم,phone_number phone_number
1822,اسجل عنوان,update_data address
1823,وريني المنيو,show Menu
1824,,
1825,تبعتلي,show
1826,,
1827,,
1828,عنواني,address
1829,عنوان,address
1830,اعدل العنوان,edit address
1831,اشوف الطلبات السابقة,show order previous
1832,الحجم الكبير,itemSize itemSize
1833,الطعام,Menu
1834,اشوف القديمة,show previous
1835,اعدل عنوان البيت,edit address address
1836,,
1837,,
1838,تفرجيني قائمة الطعام,show Menu Menu
1839,تعرضلي منيو,show Menu
1840,احط رقم,add phone_number
1841,اشوف الكارت,show card
1842,2 بيتزا,item_number ItemName
1843,,
1844,عايزة اسجل عنواني,show update_data address
1845,اللغة,Language
1846,عنوان البيت,address address
1847,اعرضلي الكارت,show card
1848,,
1849,اللغة,Language
1850,الفاتورة,invoice
1851,تضيفلي,add
1852,ايه,late
1853,,
1854,,
1855,,
1856,عايزة احدث عنواني,show update_data address
1857,,
1858,,
1859,كبيرة,itemSize
1860,,
1861,اعرضلي الاوردر,show order
1862,اضيف عنواني,add address
1863,اغير رقم,change phone_number
1864,الاوردر,order
1865,الاوردر,order
1866,,
1867,تشيكن ميل,ItemName ItemName
1868,الطلبات,order
1869,عنوان البيت,address address
1870,امسح العنوان,delete address
1871,,
1872,,
1873,اضيف عنوان البيت,add address address
1874,منيو السندوتشات,Menu ItemName
1875,,
1876,شوف,show
1877,,
1878,البيت,address
1879,,
1880,تشيكن,ItemName
1881,رقم,phone_number
1882,,
1883,,
1884,,
1885,,
1886,العنوان,address
1887,,
1888,,
1889,شوف الطلبات القديمة قبل,show order previous previous
1890,عنوان البيت,address address
1891,تفرجيني منيو,show Menu
1892,,
1893,,
1894,,
1895,اشوف منيو,show Menu
1896,الغي العنوان,cancel address
1897,مع,add
1898,,
1899,قائمة تغيير البيانات,Menu change update_data
1900,اشوف الاوردرات القديمة,show order previous
1901,اعرف قديش وقت الاوردر,show show late order
1902,اغير اللغة,change Language
1903,,
1904,تغير عنواني,change address
1905,احذف العنوان,delete address
1906,3,item_number
1907,اسجل عنوان,update_data address
1908,تفرجيني الاوردر,show order
1909,العنوان,address
1910,حذف,delete
1911,اضيف رقم,add phone_number
1912,رقم,phone_number
1913,اشوف,show
1914,,
1915,2,item_number
1916,اشوف اوردر,show order
1917,اعرف,show
1918,القائمة البيانات,Menu update_data
1919,عايزة احذف عنوان البيت,show delete address address
1920,,
1921,عايزة,show
1922,غير,change
1923,,
1924,غير لغة,change Language
1925,امسح,delete
1926,تبعتلي منيو,show Menu
1927,اشوف,show
1928,احط عنوان البيت,add address address
1929,,
1930,,
1931,اضيف رقم غير,add phone_number change
1932,,
1933,عايزة,show
1934,اروح,show
1935,,
1936,,
1937,عايزة اشوف الاوردرات,show show order
1938,,
1939,رقم,phone_number
1940,هاخد,show
1941,,
1942,,
1943,المنيو,Menu
1944,عايزة عنوان البيت,show address address
1945,عنوان,address
1946,عطيني الاوردرات طلبتها قبل,show order order previous
1947,عنواني,address
1948,,
1949,شوف الطلبات السابقة,show order previous
1950,اشوف منيو,show Menu
1951,ساندوتش,ItemName
1952,رقم موبايلي,phone_number phone_number
1953,احدث رقم موبايلي,update_data phone_number phone_number
1954,2 سلطة,item_number ItemName
1955,اعرضلي الاوردرات طلبتها قبل,show order order previous
1956,اشوف طلبتها,show order
1957,كام,invoice
1958,الحجم الكبير,itemSize itemSize
1959,,
1960,,
1961,,
1962,اروح تغيير البيانات,show change update_data
1963,,
1964,اعرف الفاتورة,show invoice
1965,ايه,late
1966,امسح العنوان,delete address
1967,تغيرلي رقم,change phone_number
1968,الحجم الكبير,itemSize itemSize
1969,,
1970,الاوردر,order
1971,ايه,late
1972,اغير رقم,change phone_number
1973,عايزة دلوقتي,show late
1974,اعرضلي,show
1975,كام,invoice
1976,2 تشيكن,item_number ItemName
1977,عطيني الكارت,show card
1978,تشيكن,ItemName
1979,,
1980,الاوردر,order
1981,,
1982,,
1983,الاوردر,order
1984,اشوف,show
1985,,
1986,منيو,Menu
1987,,
1988,,
1989,,
1990,الاوردر رقم,order phone_number
1991,اشوف,show
1992,الاوردرات,order
1993,اعرف الاوردر,show order
1994,,
1995,اعرضلي,show
1996,اشوف الاوردر,show order
1997,اوردر,order
1998,الغي العنوان,cancel address
1999,تضيفلي,add
2000,,
2001,شوف الاوردرات,show order
2002,شوف الطعام,show Menu
2003,اشوف الاوردرات طلبتها قبل,show order order previous
2004,اسجل العنوان,update_data address
2005,بيتزا بدون بصل,ItemName Exclude Exclude
2006,,
2007,,
2008,كبير,itemSize
2009,,
2010,اروح,show
2011,الله,Gbu
2012,,
2013,رقم,phone_number
2014,,
2015,عايزة اضيف عنواني,show add address
2016,,
2017,عايزة اسجل عنوان البيت,show update_data address address
2018,,
2019,,
2020,,
2021,عنوان,address
2022,الاوردر,order
2023,عطيني المنيو,show Menu
2024,عنوان,address
2025,,
2026,الاوردر,order
2027,عايزة,show
2028,الغي عنوان البيت,cancel address address
2029,,
2030,,
2031,اشوف طلباتي,show order
2032,,
2033,عنوان البيت,address address
2034,عايزة اعدل العنوان,show edit address
2035,شوف,show
2036,اغير عنوان,change address
2037,الاوردر,order
2038,,
2039,الغي,cancel
2040,العنوان,address
2041,,
2042,للرقم,phone_number
2043,السابقة,previous
2044,اعرضلي بيتزا,show ItemName
2045,عايزة رقم موبايلي,show phone_number phone_number
2046,اضيف عنواني,add address
2047,,
2048,الاوردر,order
2049,اشوف الطلبات السابقة,show order previous
2050,للحين,late
2051,شوف الكارت,show card
2052,,
2053,قائمة,Menu
2054,تابعلي الاوردر,show order
2055,اوردر,order
2056,الاوردر,order
2057,,
2058,تبعتلي,show
2059,مع,add
2060,,
2061,,
2062,,
2063,,
2064,للحين,late
2065,الاوردرات السابقة,order previous
2066,,
2067,2,item_number
2068,وريني منيو,show Menu
2069,شوف الطلبات,show order
2070,نظره,show
2071,,
2072,عايزة مع,show add
2073,,
2074,شوف الاوردرات السابقة,show order previous
2075,اشوف المنيو,show Menu
2076,,
2077,مع,add
2078,احط رقم,add phone_number
2079,اللغة,Language
2080,رقم,phone_number
2081,,
2082,,
2083,غير عنوان البيت,change address address
2084,امسح العنوان,delete address
2085,شوف الاوردرات طلبتها قبل,show order order previous
2086,رقم,phone_number
2087,,
2088,,
2089,,
2090,اشوف الاوردرات القديمة,show order previous
2091,,
2092,,
2093,اشوف طلبتها,show order
2094,العنوان,address
2095,فاضله ايه,late late
2096,تشيكن مع الاوردر,ItemName add order
2097,منيو الاطباق,Menu Menu
2098,,
2099,,
2100,الغي عنواني,cancel address
2101,وقت,late
2102,اعدل رقم,edit phone_number
2103,,
2104,,
2105,اشوف طلبتها,show order
2106,,
2107,,
2108,اعرضلي الاوردر,show order
2109,,
2110,عايزة اغير رقم,show change phone_number
2111,اغير بياناتي,change update_data
2112,,
2113,,
2114,,
2115,تبديل رقم,edit phone_number
2116,مع,add
2117,,
2118,,
2119,رقم,phone_number
2120,الاوردر ايه,order late
2121,,
2122,تبعتلي الاوردر,show order
2123,احذف,delete
2124,الاوردرات السابقة,order previous
2125,الاوردر,order
2126,,
2127,وريني قائمة الطلبات,show Menu order
2128,وريني ايه,show late
2129,عايزة القائمة,show Menu
2130,رقم,phone_number
2131,رقم,phone_number
2132,,
2133,الاوردرات السابقة,order previous
2134,,
2135,,
2136,اوردر,order
2137,رقم,phone_number
2138,,
2139,تفرجيني,show
2140,,
2141,الاوردر,order
2142,غير رقم,change phone_number
2143,,
2144,اعرف ايه,show late
2145,3,item_number
2146,ايه,late
2147,,
2148,,
2149,كام,invoice
2150,,
2151,,
2152,المنيو,Menu
2153,شوف القائمة,show Menu
2154,,
2155,طلبتها قبل,order previous
2156,,
2157,مع,add
2158,,
2159,المنيو,Menu
2160,الاوردر,order
2161,3 تشيكن مع,item_number ItemName add
2162,الطلبات لحد دلوقتي,order late late
2163,الاوردرات,order
2164,,
2165,عايزة,show
2166,شوف قائمة,show Menu
2167,عنوان البيت,address address
2168,,
2169,الغي,cancel
2170,,
2171,الاوردر,order
2172,عنواني,address
2173,تفرجيني,show
2174,عايزة البيانات,show update_data
2175,,
2176,,
2177,عنوان البيت,address address
2178,,
2179,,
2180,,
2181,,
2182,الغي العنوان,cancel address
2183,المنيو,Menu
2184,تغيرلي اللغة,change Language
2185,عايزة,show
2186,الاوردر ايه,order late
2187,,
2188,تشيكن,ItemName
2189,,
2190,اعرف الطلبات رقم,show order phone_number
2191,الفاتورة,invoice
2192,تغير للرقم,change phone_number
2193,,
2194,ايه,late
2195,احذف ميل,delete ItemName
2196,,
2197,اضيف,add
2198,اشوف,show
2199,2,item_number
2200,,
2201,,
2202,شوف الكارت,show card
2203,,
2204,الحجم,itemSize
2205,,
2206,,
2207,اسجل عنوان,update_data address
2208,اغير رقم الموبايل,change phone_number phone_number
2209,اغير العنوان,change address
2210,,
2211,اضيف,add
2212,الطلبات,order
2213,رقم,phone_number
2214,مع,add
2215,,
2216,عايزة,show
2217,عايزة اسجل عنواني,show update_data address
2218,شوف الطلبات طلبتها قبل,show order order previous
2219,,
2220,,
2221,,
2222,اشوف الاوردرات,show order
2223,,
2224,,
2225,اللغة,Language
2226,غير رقم الموبايل,change phone_number phone_number
2227,,
2228,اللغة,Language
2229,الاوردر,order
2230,,
2231,,
2232,,
2233,الكارت,card
2234,2 بيتزا كبيرة,item_number ItemName itemSize
2235,منيو,Menu
2236,,
2237,,
2238,القائمة السابقة,Menu previous
2239,2 سلطة,item_number ItemName
2240,تغيرلي عنوان البيت,change address address
2241,احدث عنوان البيت,update_data address address
2242,,
2243,اغير رقم,change phone_number
2244,اغير,change
2245,,
2246,,
2247,,
2248,امسح عنوان البيت,delete address address
2249,الاوردر ايه,order late
2250,,
2251,الغي,cancel
2252,منيو البيتزا,Menu ItemName
2253,تغيير الجوال,change phone_number
2254,,
2255,عنواني,address
2256,,
2257,,
2258,,
2259,الفاتورة,invoice
2260,,
2261,اضيف عنوان,add address
2262,القائمة,Menu
2263,اعرضلي الطعام,show Menu
2264,اعرضلي الاوردر,show order
2265,العنوان,address
2266,تبعتلي الاوردر,show order
2267,كام,invoice
2268,عايزة اضيف عنواني,show add address
2269,منيو,Menu
2270,عنوان,address
2271,,
2272,عايزة اشوف قائمة الطلبات,show show Menu order
2273,اعرف,show
2274,الاوردر 3 بيتزا مع,order item_number ItemName add
2275,,
2276,اشوف الاوردر,show order
2277,عايزة اعرف كام,show show invoice
2278,,
2279,الغي العنوان,cancel address
2280,البيانات,update_data
2281,,
2282,,
2283,عايزة الغي عنواني,show cancel address
2284,,
2285,,
2286,تغيرلي,change
2287,,
2288,عايزة,show
2289,عنواني,address
2290,غير البيانات,change update_data
2291,كام,invoice
2292,,
2293,,
2294,,
2295,اشوف منيو,show Menu
2296,3 سلطة,item_number ItemName
2297,,
2298,3,item_number
2299,,
2300,الاوردر,order
2301,الاوردر دلوقتي,order late
2302,ساندوتش,ItemName
2303,احذف,delete
2304,,
2305,,
2306,,
2307,,
2308,حسابى,invoice
2309,,
2310,طلبتها,order
2311,,
2312,,
2313,غير موبايلي,change phone_number
2314,الاوردر رقم,order phone_number
2315,وريني ايه,show late
2316,ساندوتش,ItemName
2317,عايزة اشوف الاوردرات السابقة,show show order previous
2318,العنوان,address
2319,,
2320,اللغة الانجليزية,Language Language
2321,الفاتورة,invoice
2322,,
2323,ايه,late
2324,الاوردر ايه,order late
2325,شوف الطلبات طلبتها,show order order
2326,تبعتلي قائمة الطعام,show Menu Menu
2327,رقم,phone_number
2328,شوف الاوردر,show order
2329,عايزة اعدل عنوان البيت,show edit address address
2330,,
2331,الاسبانية,Language
2332,,
2333,الطلبات السابقة,order previous
2334,شوف الاوردر,show order
2335,عايزة اشوف قبل,show show previous
2336,الاوردر,order
2337,الطلبات السابقة,order previous
2338,,
2339,اعرف الاوردر,show order
2340,الانجليزية,Language
2341,,
2342,العنوان,address
2343,,
2344,,
2345,,
2346,لغة,Language
2347,الطعام,Menu
2348,المنيو,Menu
2349,عايزة اضيف عنوان البيت,show add address address
2350,,
2351,منيو,Menu
2352,اشوف,show
2353,,
2354,,
2355,سوبر,ItemName
2356,الاوردر للرقم,order phone_number
2357,عنوان البيت,address address
2358,للحين,late
2359,اشوف الاوردرات,show order
2360,الطعام,Menu
2361,اشوف المنيو,show Menu
2362,الاوردر,order
2363,الغي عنواني,cancel address
2364,شوف الطلبات,show order
2365,,
2366,الهابي ميل,ItemName ItemName
2367,حسابى كام,invoice invoice
